Cuarto,Mes,Año,Valor
1,1,2000,44.80927026
2,1,2000,45.05224634
1,2,2000,45.27254714
2,2,2000,45.38607009
1,3,2000,45.53044942
2,3,2000,45.6310557
1,4,2000,45.78634268
2,4,2000,45.89369403
1,5,2000,45.96631446
2,5,2000,46.05644359
1,6,2000,46.2299573
2,6,2000,46.33788318
1,7,2000,46.4337534
2,7,2000,46.49503568
1,8,2000,46.61587822
2,8,2000,46.82369235
1,9,2000,47.03423352
2,9,2000,47.08790971
1,10,2000,47.29514984
2,10,2000,47.47512162
1,11,2000,47.73216289
2,11,2000,47.84855637
1,12,2000,48.19285675
2,12,2000,48.42248565
1,1,2001,48.55968941
2,1,2001,48.59126331
1,2,2001,48.52754099
2,2,2001,48.5591154
1,3,2001,48.72387398
2,3,2001,48.97775771
1,4,2001,49.05066514
2,4,2001,49.14380832
1,5,2001,49.15543347
2,5,2001,49.26450735
1,6,2001,49.31717852
2,6,2001,49.33554875
1,7,2001,49.15902152
2,7,2001,49.23752602
1,8,2001,49.40745168
2,8,2001,49.57177975
1,9,2001,49.90589051
2,9,2001,49.99487163
1,10,2001,50.11944572
2,10,2001,50.23282516
1,11,2001,50.37232493
2,11,2001,50.35782924
1,12,2001,50.43590323
2,12,2001,50.43375071
1,1,2002,50.80101388
2,1,2002,51.00007391
1,2,2002,50.86703221
2,2,2002,50.86846723
1,3,2002,51.0157171
2,3,2002,51.24032346
1,4,2002,51.47135267
2,4,2002,51.34322576
1,5,2002,51.48358654
2,5,2002,51.53927175
1,6,2002,51.71981754
2,6,2002,51.80549814
1,7,2002,51.87284528
2,7,2002,51.95003548
1,8,2002,52.07851311
2,8,2002,52.13912555
1,9,2002,52.39659887
2,9,2002,52.4468502
1,10,2002,52.62454306
2,10,2002,52.68204717
1,11,2002,53.00324125
2,11,2002,53.15399525
1,12,2002,53.27418401
2,12,2002,53.3456756
1,1,2003,53.51456152
2,1,2003,53.53631983
1,2,2003,53.6161003
2,2,2003,53.73214461
1,3,2003,53.9440291
2,3,2003,54.08183173
1,4,2003,54.08804839
2,4,2003,54.12224001
1,5,2003,53.89895832
2,5,2003,53.96164297
1,6,2003,53.95076382
2,6,2003,53.99946098
1,7,2003,54.04556788
2,7,2003,54.06162758
1,8,2003,54.15953997
2,8,2003,54.27092179
1,9,2003,54.52787706
2,9,2003,54.54808121
1,10,2003,54.70194354
2,10,2003,54.77447124
1,11,2003,55.15057915
2,11,2003,55.23450406
1,12,2003,55.35780114
2,12,2003,55.50233848
1,1,2004,55.68521189
2,1,2004,55.86342281
1,2,2004,56.04215177
2,2,2004,56.17373774
1,3,2004,56.27734874
2,3,2004,56.31931119
1,4,2004,56.31775702
2,4,2004,56.44778883
1,5,2004,56.23694045
2,5,2004,56.24678349
1,6,2004,56.29858899
2,6,2004,56.36490003
1,7,2004,56.44882494
2,7,2004,56.51047348
1,8,2004,56.7254663
2,8,2004,56.93061607
1,9,2004,57.24507544
2,9,2004,57.35075866
1,10,2004,57.64605
2,10,2004,57.74344433
1,11,2004,58.11333559
2,11,2004,58.26098126
1,12,2004,58.34905061
2,12,2004,58.26564375
1,1,2005,58.31434092
2,1,2005,58.30397982
1,2,2005,58.40344638
2,2,2005,58.6034156
1,3,2005,58.72153214
2,3,2005,58.81270982
1,4,2005,58.85933476
2,4,2005,59.09401367
1,5,2005,58.84586533
2,5,2005,58.81011954
1,6,2005,58.72464047
2,6,2005,58.81892647
1,7,2005,58.98366796
2,7,2005,59.02044986
1,8,2005,59.06293037
2,8,2005,59.0810623
1,9,2005,59.29139262
2,9,2005,59.32662036
1,10,2005,59.43800218
2,10,2005,59.4711577
1,11,2005,59.86902392
2,11,2005,59.89648084
1,12,2005,60.14514723
2,12,2005,60.35495949
1,1,2006,60.54767595
2,1,2006,60.65957582
1,2,2006,60.70205633
2,2,2006,60.69065912
1,3,2006,60.71552576
2,3,2006,60.82949786
1,4,2006,60.84503951
2,4,2006,60.87767697
1,5,2006,60.57979536
2,5,2006,60.60155367
1,6,2006,60.64610639
2,6,2006,60.64040779
1,7,2006,60.7771743
2,7,2006,60.84141312
1,8,2006,61.02169626
2,8,2006,61.21752104
1,9,2006,61.58482202
2,9,2006,61.88840224
1,10,2006,62.06298677
2,10,2006,61.95056884
1,11,2006,62.26761849
2,11,2006,62.39661418
1,12,2006,62.63750974
2,12,2006,62.7473374
1,1,2007,62.95455939
2,1,2007,63.07785648
1,2,2007,63.16696193
2,2,2007,63.21824938
1,3,2007,63.26953682
2,3,2007,63.38920752
1,4,2007,63.25658545
2,4,2007,63.32600481
1,5,2007,63.00170239
2,5,2007,62.96336633
1,6,2007,63.01517182
2,6,2007,63.10168701
1,7,2007,63.25658545
2,7,2007,63.39542418
1,8,2007,63.52493793
2,8,2007,63.64357252
1,9,2007,64.03988458
2,9,2007,64.1155206
1,10,2007,64.32015232
2,10,2007,64.33413981
1,11,2007,64.74806574
2,11,2007,64.81437677
1,12,2007,64.9418183
2,12,2007,65.15681112
1,1,2008,65.33502203
2,1,2008,65.36610533
1,2,2008,65.44847607
2,2,2008,65.64119252
1,3,2008,65.95461579
2,3,2008,66.08464759
1,4,2008,66.12350171
2,4,2008,66.21675161
1,5,2008,66.04164903
2,5,2008,66.15562112
1,6,2008,66.34419313
2,6,2008,66.40066113
1,7,2008,66.65502612
2,7,2008,66.82961065
1,8,2008,67.03579653
2,8,2008,67.21970605
1,9,2008,67.51396128
2,9,2008,67.65590835
1,10,2008,67.98539132
2,10,2008,68.10506202
1,11,2008,68.74796825
2,11,2008,68.88991531
1,12,2008,69.20282052
2,12,2008,69.3882842
1,1,2009,69.4918952
2,1,2009,69.42040361
1,2,2009,69.5390382
2,2,2009,69.67994916
1,3,2009,69.89546003
2,3,2009,70.12444033
1,4,2009,70.22442494
2,4,2009,70.28555543
1,5,2009,70.04465987
2,5,2009,70.05657513
1,6,2009,70.15086114
2,6,2009,70.20784719
1,7,2009,70.34875814
2,7,2009,70.3917567
1,8,2009,70.46946495
2,8,2009,70.60830369
1,9,2009,70.88649921
2,9,2009,70.89893253
1,10,2009,71.14449059
2,10,2009,71.06989067
1,11,2009,71.44340832
2,11,2009,71.5092013
1,12,2009,71.6910386
2,12,2009,71.8521537
1,1,2010,72.38989477
2,1,2010,72.71419719
1,2,2010,72.84681926
2,2,2010,73.09652176
1,3,2010,73.43066722
2,3,2010,73.54878376
1,4,2010,73.32239373
2,4,2010,73.18873555
1,5,2010,72.79501376
2,5,2010,72.79242349
1,6,2010,72.76082213
2,6,2010,72.78154433
1,7,2010,72.88929977
2,7,2010,72.96959829
1,8,2010,73.0846065
2,8,2010,73.17837445
1,9,2010,73.47314773
2,9,2010,73.55707264
1,10,2010,73.9119403
2,10,2010,74.0259124
1,11,2010,74.53049795
2,11,2010,74.5931826
1,12,2010,74.73720189
2,12,2010,75.12470701
1,1,2011,75.255424
2,1,2011,75.33655869
1,2,2011,75.49131558
2,2,2011,75.6656049
1,3,2011,75.70241601
2,3,2011,75.7437346
1,4,2011,75.67537112
2,4,2011,75.76026203
1,5,2011,75.19231925
2,5,2011,75.12545826
1,6,2011,75.08413967
2,6,2011,75.22612537
1,7,2011,75.46351944
2,7,2011,75.56944528
1,8,2011,75.63405253
2,8,2011,75.63705752
1,9,2011,75.79707314
2,9,2011,75.84440171
1,10,2011,76.30942364
2,10,2011,76.35675221
1,11,2011,77.09447683
2,11,2011,77.22218883
1,12,2011,77.61283731
2,12,2011,77.97193341
1,1,2012,78.21984494
2,1,2012,78.46625398
1,2,2012,78.52034377
2,2,2012,78.48353266
1,3,2012,78.52109502
2,3,2012,78.57293107
1,4,2012,78.24538734
2,4,2012,78.35582066
1,5,2012,77.98169962
2,5,2012,78.12593906
1,6,2012,78.31450207
2,6,2012,78.5128313
1,7,2012,78.81858886
2,7,2012,78.88920608
1,8,2012,78.99663441
2,8,2012,79.18444618
1,9,2012,79.38202416
2,9,2012,79.49621371
1,10,2012,79.85380732
2,10,2012,79.82751367
1,11,2012,80.45705872
2,11,2012,80.30906304
1,12,2012,80.52917844
2,12,2012,80.60730813
1,1,2013,80.7312639
2,1,2013,81.05354889
1,2,2013,81.24661939
2,2,2013,81.33601779
1,3,2013,81.75972114
2,3,2013,82.01514514
1,4,2013,81.93851794
2,4,2013,81.94452792
1,5,2013,81.66130777
2,5,2013,81.67633271
1,6,2013,81.63801911
2,6,2013,81.59970551
1,7,2013,81.59970551
2,7,2013,81.58392932
1,8,2013,81.79653224
2,8,2013,81.85212453
1,9,2013,82.12858345
2,9,2013,82.13684717
1,10,2013,82.46664463
2,10,2013,82.57933169
1,11,2013,83.2817477
2,11,2013,83.30203137
1,12,2013,83.63783881
2,12,2013,83.90302903
1,1,2014,84.47022057
2,1,2014,84.56788269
1,2,2014,84.66854979
2,2,2014,84.79701304
1,3,2014,84.94350622
2,3,2014,84.9863273
1,4,2014,84.82856542
2,4,2014,84.78574434
1,5,2014,84.47322555
2,5,2014,84.59868382
1,6,2014,84.6670473
2,6,2014,84.69709718
1,7,2014,84.86462528
2,7,2014,84.96529239
1,8,2014,85.12605926
2,8,2014,85.31311978
1,9,2014,85.5895787
2,9,2014,85.60310115
1,10,2014,86.02905824
2,10,2014,86.11019292
1,11,2014,86.74499669
2,11,2014,86.7833103
1,12,2014,87.14315764
2,12,2014,87.23556103
1,1,2015,87.07254042
2,1,2015,87.14691388
1,2,2015,87.23856602
2,2,2015,87.31143699
1,3,2015,87.46844762
2,3,2015,87.79223511
1,4,2015,87.3963279
2,4,2015,87.41210409
1,5,2015,86.94858465
2,5,2015,86.98539576
1,6,2015,87.10033656
2,6,2015,87.12512771
1,7,2015,87.20701364
2,7,2015,87.27537713
1,8,2015,87.37604423
2,8,2015,87.47370635
1,9,2015,87.75392151
2,9,2015,87.75091652
1,10,2015,88.15658994
2,10,2015,88.25199832
1,11,2015,88.71176152
2,11,2015,88.65992548
1,12,2015,88.88830459
2,12,2015,89.2045796
1,1,2016,89.22861951
2,1,2016,89.54414328
1,2,2016,89.79956728
2,2,2016,89.7552437
1,3,2016,89.84163712
2,3,2016,89.97761284
1,4,2016,89.6673478
2,4,2016,89.58395937
1,5,2016,89.15048981
2,5,2016,89.29998798
1,6,2016,89.32027165
2,6,2016,89.32778412
1,7,2016,89.57569565
2,7,2016,89.53888455
1,8,2016,89.81985095
2,8,2016,89.79881603
1,9,2016,90.2818679
2,9,2016,90.43361981
1,10,2016,90.87986057
2,10,2016,90.93244786
1,11,2016,91.63411263
2,11,2016,91.59955526
1,12,2016,91.98043753
2,12,2016,92.09838332
1,1,2017,93.49194663
2,1,2017,93.71581826
1,2,2017,94.02833704
2,2,2017,94.26122363
1,3,2017,94.59177234
2,3,2017,94.85245508
1,4,2017,94.70971813
2,4,2017,94.96814712
1,5,2017,94.64736463
2,5,2017,94.80362402
1,6,2017,94.94711221
2,6,2017,94.97941583
1,7,2017,95.20328746
2,7,2017,95.44293527
1,8,2017,95.73742412
2,8,2017,95.84935994
1,9,2017,96.17615241
2,9,2017,96.01012681
1,10,2017,96.60436324
2,10,2017,96.79142376
1,11,2017,97.67714406
2,11,2017,97.71245267
1,12,2017,98.13765851
2,12,2017,98.40810746
1,1,2018,98.64249654
2,1,2018,98.94750285
1,2,2018,99.15033956
2,2,2018,99.19316065
1,3,2018,99.48539576
2,3,2018,99.49816696
1,4,2018,99.1540958
2,4,2018,99.15634954
1,5,2018,98.86787067
2,5,2018,99.12104093
1,6,2018,99.25401166
2,6,2018,99.4989182
1,7,2018,99.81894946
2,7,2018,100
1,8,2018,100.343
2,8,2018,100.641
1,9,2018,100.865
2,9,2018,100.97
1,10,2018,101.372
2,10,2018,101.509
1,11,2018,102.132
2,11,2018,102.473
1,12,2018,103.049
2,12,2018,102.992
1,1,2019,103.105
2,1,2019,103.112
1,2,2019,103.009
2,2,2019,103.15
1,3,2019,103.415
2,3,2019,103.537
1,4,2019,103.501
2,4,2019,103.562
1,5,2019,103.25
2,5,2019,103.216
1,6,2019,103.225
2,6,2019,103.373
1,7,2019,103.654
2,7,2019,103.72
1,8,2019,103.642
2,8,2019,103.697
1,9,2019,103.877
2,9,2019,104.007
1,10,2019,104.42
2,10,2019,104.587
1,11,2019,105.299
2,11,2019,105.393
1,12,2019,105.763
2,12,2019,106.105
1,1,2020,106.388
2,1,2020,106.506
1,2,2020,106.636
2,2,2020,107.141
1,3,2020,107.254
2,3,2020,106.422
1,4,2020,105.655
2,4,2020,105.854
1,5,2020,106.167
2,5,2020,106.158
1,6,2020,106.495
2,6,2020,106.991
1,7,2020,107.371
2,7,2020,107.517
1,8,2020,107.777
2,8,2020,107.956
1,9,2020,108.132
2,9,2020,108.097
1,10,2020,108.686
2,10,2020,108.862
1,11,2020,108.91
2,11,2020,108.801
1,12,2020,109.168
2,12,2020,109.374
1,1,2021,109.936
2,1,2021,110.484
1,2,2021,110.736
2,2,2021,111.079
1,3,2021,111.668
2,3,2021,111.981
1,4,2021,112.052
2,4,2021,112.328
1,5,2021,112.321
2,5,2021,112.517
1,6,2021,112.903
2,6,2021,113.132
1,7,2021,113.547
2,7,2021,113.818
1,8,2021,113.794
